CMDLINE /Users/swittchawanwanidchai/.local/share/virtualenvs/xetra2021-pPWFAzJl/bin/python run.py
MEM 0.679688 1637829809.1477
MEM 23.332031 1637829809.2530
MEM 38.593750 1637829809.3582
MEM 50.085938 1637829809.4587
MEM 72.859375 1637829809.5639
MEM 92.964844 1637829809.6660
